agentId;configNumber;rounds;totalVictories;avgVictories;totalDeaths;avgDeaths;totalTimedout;avgTimedout;totalTimeSpent;avgTimeSpent;levelSeed;options
MarioAI;33;1;0;0.0;1;1.0;0;0.0;31;31.0;2120367965; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 2120367965
MarioAI;34;1;0;0.0;1;1.0;0;0.0;37;37.0;747550651; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 747550651
MarioAI;35;1;0;0.0;1;1.0;0;0.0;23;23.0;266053211; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 266053211
MarioAI;36;1;0;0.0;1;1.0;0;0.0;26;26.0;1436086648; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1436086648
MarioAI;37;1;1;1.0;0;0.0;0;0.0;40;40.0;2044337994; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 2044337994
MarioAI;38;1;0;0.0;1;1.0;0;0.0;16;16.0;1274901581; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1274901581
MarioAI;39;1;1;1.0;0;0.0;0;0.0;45;45.0;212220735; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 212220735
MarioAI;40;1;0;0.0;1;1.0;0;0.0;39;39.0;736877176; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 736877176
MarioAI;41;1;0;0.0;1;1.0;0;0.0;5;5.0;353357156; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 353357156
MarioAI;42;1;0;0.0;1;1.0;0;0.0;33;33.0;705520311; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 705520311
MarioAI;43;1;1;1.0;0;0.0;0;0.0;43;43.0;1508577068; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1508577068
MarioAI;44;1;0;0.0;1;1.0;0;0.0;39;39.0;400853190; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 400853190
MarioAI;45;1;0;0.0;1;1.0;0;0.0;39;39.0;982146684; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 982146684
MarioAI;46;1;0;0.0;1;1.0;0;0.0;19;19.0;1023612481; vis on z on lf off lb off lca off lco off lde off lg off lhb off lhs off lla off ltb off le g,s ltb on vis off ls 1023612481
