agentId;configNumber;repetitions;simulationNumber;levelSeed;result;marioMode;timeLeft;timeSpent;marioStatus;distancePassedCells;distancePassedPhys;flowersDevoured;killsByFire;killsByShell;killsByStomp;killsTotal;mushroomsDevoured;greenMushroomsDevoured;coinsGained;hiddenBlocksFound;totalNumberOfCoins;totalNumberOfHiddenBlocks;totalNumberOfMushrooms;totalNumberOfFlowers;totalNumberOfCreatures;levelLength;collisionsWithCreatures
MarioAI;181;1;181;465921802;MARIO_DIED;SMALL;185;14;0;92;1483;0;1;0;1;2;0;0;0;0;0;0;0;0;42;256;3
MarioAI;182;1;182;1797813173;MARIO_DIED;SMALL;167;32;0;183;2933;0;2;0;2;4;0;0;0;0;0;0;0;0;41;256;3
MarioAI;183;1;183;362012482;MARIO_DIED;SMALL;192;8;0;45;728;0;0;0;1;1;0;0;0;0;0;0;0;0;46;256;3
MarioAI;184;1;184;34417634;VICTORY;SMALL;154;45;1;256;4096;0;12;0;1;13;0;0;0;0;0;0;0;0;41;256;2
MarioAI;185;1;185;1670243413;MARIO_DIED;SMALL;162;37;0;217;3472;0;3;0;1;4;0;0;0;0;0;0;0;0;38;256;3
MarioAI;186;1;186;1697227379;MARIO_DIED;SMALL;173;26;0;170;2731;0;1;0;1;2;0;0;0;0;0;0;0;0;39;256;3
MarioAI;187;1;187;1571613770;MARIO_DIED;SMALL;171;29;0;181;2906;0;1;0;2;3;0;0;0;0;0;0;0;0;37;256;3
MarioAI;188;1;188;461796138;MARIO_DIED;SMALL;180;20;0;102;1641;0;1;0;1;2;0;0;0;0;0;0;0;0;41;256;3
MarioAI;189;1;189;113460512;VICTORY;SMALL;157;42;1;256;4096;0;7;0;4;11;0;0;0;0;0;0;0;0;40;256;2
MarioAI;190;1;190;1369745445;MARIO_DIED;SMALL;180;20;0;119;1911;0;4;0;2;6;0;0;0;0;0;0;0;0;41;256;3
MarioAI;191;1;191;1714465410;VICTORY;LARGE;155;44;1;256;4096;0;4;0;4;8;0;0;0;0;0;0;0;0;44;256;1
MarioAI;192;1;192;1075435907;VICTORY;LARGE;160;39;1;256;4096;0;0;0;3;3;0;0;0;0;0;0;0;0;43;256;1
MarioAI;193;1;193;1648970981;MARIO_DIED;SMALL;182;17;0;102;1639;0;5;0;1;6;0;0;0;0;0;0;0;0;43;256;3
MarioAI;194;1;194;1688294015;VICTORY;LARGE;156;43;1;256;4096;0;6;0;2;8;0;0;0;0;0;0;0;0;45;256;1
MarioAI;195;1;195;1320844495;VICTORY;SMALL;155;44;1;256;4096;0;1;0;5;6;0;0;0;0;0;0;0;0;43;256;2
MarioAI;196;1;196;306403529;MARIO_DIED;SMALL;156;43;0;226;3627;0;1;0;3;4;0;0;0;0;0;0;0;0;42;256;3
MarioAI;197;1;197;1606544260;MARIO_DIED;SMALL;184;15;0;94;1515;0;0;0;1;1;0;0;0;0;0;0;0;0;41;256;3
MarioAI;198;1;198;1959212095;MARIO_DIED;SMALL;167;32;0;174;2784;0;2;0;2;4;0;0;0;0;0;0;0;0;41;256;3
MarioAI;199;1;199;1777990273;MARIO_DIED;SMALL;177;22;0;103;1658;0;1;0;1;2;0;0;0;0;0;0;0;0;40;256;3
MarioAI;200;1;200;170989606;VICTORY;LARGE;156;43;1;256;4096;0;3;0;2;5;0;0;0;0;0;0;0;0;38;256;1
